Genotype,Moss tf,Fern
b\PDVRT1/20\Q\408,y,0
c\KVEDG1/1/80\Q\288,y,0
a\MAVBEL2/1/20\N\304,y,0
maple/cnt\20,y,0
c\KVEDG1/1/80\Q\289,y,0
c\PDVRT1/20\Q\409,y,0
d\DVGM/20\Q\120,y,0
maple/cnt\18,y,0
a\CRSOSO/3/40\Q\55,y,0
c\SMITH1/1/0\Q\i157,y,0
e\JARI1/1/80\Q\170,y,0
c\BWPEM1/9/0\Q\15,y,0
c\KVEDG1/1/80\Q\286,y,1
d\MBSGF1/X1\N\i135,y,0
e\JBBLB2/1/20\Q\222,y,0
e\JBCHY1/1/50\Q\244,y,0
maple/cnt\6,y,15
maple/cnt\9,y,10
c\PDVRT1/20\Q\413,y,0
e\MHBUR1/4/20\Q\348,y,0
b\CBMCK1/1/0\N\37,y,0
c\BWPEM1/9/0\Q\14,y,0
c\MSMID1/1/20\Q\382,y,1
e\BWPEM1/9/0\Q\33,y,0
d\BWPEM1/9/0\Q\26,y,0
maple/cnt\8,y,15
b\MHNAT1/2/0\Q\364,y,0
d\JWBOY/2/80\Q\258,y,5
c\WSSWM3/1/0\Q\568,y,0
a\MSMID1/1/20\Q\371,y,0
a\MAVELK/1/20\N\i126,y,12
d\JBBLB2/1/20\Q\212,y,0
maple/cnt\1,y,15
e\JARI1/1/80\Q\188,y,0
d\KVEDG1/1/80\Q\294,y,8
a\BWPEM1/9/0\Q\2,y,0
a\VSGARO1/1/0\Q\533,y,0
b\MSMID1/1/20\Q\375,y,0
c\DVGM/20\Q\117,y,1
e\JWBOY/2/80\Q\271,y,0
maple/cnt\14,y,15
b\VRPET2/3/20\Q\516,y,0
b\MSMID1/1/20\Q\600,y,0
c\VSGARO1/1/0\Q\535,y,2
d\BWPEM1/9/0\Q\21,y,0
b\CBMCK1/2/80\N\i108,y,0
d\VRCAN/1/40\Q\499,y,0
b\CRSOSO/3/40\Q\74,y,0
b\WSSWM3/3/80\V\i161,y,0
b\MHNAT1/2/0\Q\357,y,0
d\KVEDG1/1/80\Q\296,y,3
b\KVEDG1/1/80\Q\281,y,0
c\JBCHY1/1/50\Q\233,y,0
e\JBBLB2/1/20\Q\216,y,3
maple/cnt\16,y,11
c\CWRIC2/X2\Q\90,y,0
b\JBBLB2/1/20\Q\200,y,1
a\SMITH1/20\Q\454,y,0
maple/cnt\22,y,0
d\JARI1/1/80\Q\181,y,0
e\JARI1/1/80\Q\185,y,0
e\JBCHY1/1/50\Q\240,y,0
e\JBBLB2/1/20\Q\219,y,0
b\SMITH1/20\Q\460,y,0
a\NSLJU1/4/0\V\i138,y,0
e\MSMID1/1/20\Q\602,y,0
c\MHBUR1/4/20\Q\336,y,0
maple/cnt\23,y,0
d\BWPEM1/9/0\Q\23,y,0
c\MSMID1/1/20\Q\381,y,0
a\JBBLB2/1/20\Q\198,y,0
c\CBMCK1/1/0\N\41,y,0
b\JARI1/1/80\Q\164,y,0
a\WSSWM3/1/0\Q\549,y,0
a\MSMID1/1/20\Q\366,y,0
c\VRPET2/3/20\Q\521,y,0
b\VRPET2/3/20\Q\510,y,0
a\KVEDG1/1/80\Q\273,y,0
d\VRPET2/3/20\Q\528,y,0
c\MHBUR1/4/20\Q\339,y,0
b\VRPET2/3/20\Q\513,y,0
c\EFCC2/4/80\Q\146,y,0
b\DVGM/20\Q\111,y,0
d\CRSOSO/3/40\Q\68,y,0
maple/cnt\24,y,0
e\KVEDG1/1/80\Q\300,y,0
e\DVGM/20\Q\128,y,0
b\CRSOSO/3/40\Q\71,y,0
e\JARI1/1/80\Q\186,y,0
a\SMITH1/20\Q\452,y,0
c\MHNAT1/2/0\Q\360,y,0
d\CRSOSO/3/40\Q\67,y,0
maple/cnt\30,y,0
e\RULEB1/20\N\429,y,0
b\PDVRT1/20\Q\405,y,0
e\KVEDG1/1/80\Q\301,y,0
maple/cnt\7,y,0
a\PDVRT1/20\Q\402,y,0
c\JWBOY/2/80\Q\253,y,0
e\JBBLB2/1/20\Q\220,y,0
b\JBCHY1/1/50\Q\226,y,0
b\WSSWM3/1/0\_,y,0
a\SMITH1/20\Q\449,y,0
b\VRCAN/1/40\Q\482,y,0
d\CRSOSO/3/40\Q\61,y,0
maple/cnt\5,y,0
d\VRCAN/1/40\Q\501,y,0
f\JBCHY1/1/50\Q\248,y,0
maple/cnt\15,y,15
d\MAVBEL2/1/20\N\323,y,2
d\JARI1/1/80\Q\180,y,0
b\EFCC2/4/80\Q\144,y,0
