Row_Field,Col_Field,Family,ID,Larg_Leaf_Len_Bolt,Larg_Leaf_Wid_Bolt,GM_StemHeight_Bolt,GM_Leaf_Number_Bolt,Sampler,Maple_Died
7,6,pdv,414,,,,,Liisa,
7,6,kve,275,38,39,134,23,Liisa,
7,6,jbc,237,13,15,105,5,Liisa,
7,6,msm,371,19,18,62,7,Liisa,
7,6,vsg,533,,,,,Liisa,
7,6,wss,569,,,,,Liisa,
7,6,jbb,212,6,10,54,7,Liisa,
7,6,jbc,227,13,12,96,7,Liisa,
6,6,sma,438,20,20,101,15,Liisa,
6,6,mav,330,,,,,Liisa,
6,6,jar,190,34,33,92,23,Liisa,
6,6,bwp,30,,,,,Liisa,
6,6,vrc,486,,,,,Liisa,
6,6,pdv,405,,,,,Liisa,
6,6,mhb,334,,,,,Liisa,
6,6,rul,423,,,,,Liisa,
6,6,jwp,256,15,11,62,8,Liisa,
6,6,kve,301,,,,,Liisa,
6,6,msm,388,,,,,Liisa,
6,5,vrc,498,,,,,Liisa,
6,5,sma,444,43,42,86,41,Liisa,
6,5,mhb,344,,,,,Liisa,
6,5,sma,432,,,,,Liisa,
6,5,msm,383,,,,,Liisa,
6,5,mbs,i134,,,,,Liisa,
6,5,mhb,335,4,4,3,3,Liisa,
6,5,kve,277,,,,,Liisa,
6,5,wss,567,,,,,Liisa,
6,5,vrp,506,,,,,Liisa,Y
6,4,mav,312,,,,,Liisa,
6,4,jwb,261,3,5,1,4,Liisa,
6,4,crs,63,,,,,Liisa,
6,4,seb,i152,26,24,91,21,Liisa,
6,4,mav,325,,,,,Liisa,
6,4,efc,157,,,,,Liisa,
6,4,smi,456,2,2,3,2,Liisa,
6,4,nsl,i141,41,33,129,15,Liisa,
6,4,smi,i159,31,32,202,18,Liisa,
6,4,msm,391,13,13,59,7,Liisa,
6,3,mhn,362,,,,,Liisa,
6,3,smi,471,,,,,Liisa,
6,3,bwp,1,,,,,Liisa,
6,3,msm,395,,,,,Liisa,
6,3,bwp,3,,,,,Liisa,
6,3,jwb,253,,,,,Liisa,
6,3,msm,387,,,,,Liisa,
6,3,jbb,214,,,,,Liisa,
6,3,msm,375,,,,,Liisa,
6,3,wsswm3-1-3,?,,,,,Liisa,
6,3,csg,534,,,,,Liisa,
6,3,pdv,402,,,,,Liisa,
6,2,wss,573,,,,,Liisa,
6,2,wss,i161,23,29,20,10,Liisa,
6,2,mhn,357,,,,,Liisa,
6,2,sma,437,,,,,Liisa,
6,2,sma,442,15,18,79,9,Liisa,
6,2,bwp,25,8,9,56,5,Liisa,
6,2,jbc,233,,,,,Liisa,
6,2,vsg,543,40,41,89,15,Liisa,
6,2,cwr,96,,,,,Liisa,
6,2,kve,296,26,29,74,7,Liisa,
6,2,kve,281,10,10,14,2,Liisa,
6,2,vrp,526,26,29,99,9,Liisa,
1,1,nsl,i142,,,,,Nikita,
1,1,jar,177,16,21,63,10,Nikita,
1,1,jwb,268,,,,,Nikita,
1,1,crs,66,,,,,Nikita,
1,1,jwb,269,,,,,Nikita,
1,1,mav,321,,,,,Nikita,
1,1,dvg,119,17,18,119,8,Nikita,
1,1,vrc,494,,,,,Nikita,
1,1,wss,i163,,,,,Nikita,
1,1,vsg,547,,,,,Nikita,
1,1,smi,468,19,18,127,9,Nikita,
1,2,crs,65,,,,,Nikita,
1,2,cbm,i114,,,,,Nikita,
1,2,mhn,365,15,22,76,8,Nikita,
1,2,vrc,481,33,32,49,8,Nikita,
1,2,efc,155,,,,,Nikita,
1,2,jbb,213,,,,,Nikita,
1,2,jwb,257,,,,,Nikita,
1,2,jbc,249,,,,,Nikita,
1,2,jbc,243,14,13,81,10,Nikita,
1,2,vrp,508,20,17,84,8,Nikita,
