Genotype,GM_Leaf_Number,GM_Leaf_Len,GM_Leaf_Wid,ThripsDam,WhiteFungDam,BlackPathDam
d§SMAKC1-B§N§435,leaf-1,length-51,width-46.png,0,0,0
a§DVGM-20§Q§106,leaf-1,length-32,width-33.png,0,0,0
b§EFCC2-4-80§Q§140,leaf-1,length-41,width-39.png,0,0,0
c§VRCAN-1-40§Q§497,leaf-1,length-43,width-42.png,1,0,0
c§CBMCK1-1-0§N§42,leaf-1,length-45,width-44.png,0,0,1
d§CBMCK1-3-60§N§i114,leaf-1,length-37,width-25.png,0,0,0
b§JBBLB2-1-20§Q§200,leaf-1,length-38,width-27.png,0,0,2
b§SMITH1-20§Q§464,leaf-2,length-50,width-50.png,0,0,5
d§EFCC2-4-80§Q§154,leaf-2,length-33,width-31.png,0,0,0
c§MHBUR1-4-20§Q§339,leaf-1,length-32,width-28.png,3,1,0
b§KVEDG1-1-80§Q§280,leaf-1,length-34,width-25.png,0,0,0
d§NSLJU1-4-0§V§i142,leaf-1,length-55,width-51.png,0,0,0
e§SMITH1-1-0§Q§i160,leaf-1,length-35,width-39.png,2,0,0
e§JBBLB2-1-20§Q§216,leaf-2,length-42,width-33.png,2,0,4
b§EFCC2-4-80§Q§138,leaf-1,length-45,width-47.png,0,7,0
e§MAVBEL2-1-20§N§333,leaf-1,length-54,width-64.png,22,0,0
e§SEBRN-1-20§N§i152,leaf-2,length-69,width-66.png,6,0,1
c§VRCAN-1-40§Q§495,leaf-1,length-37,width-18.png,0,0,1
a§RULEB1-20§N§421,leaf-2,length-52,width-50.png,5,0,5
f§JBCHY1-1-50§Q§248,leaf-1,length-37,width-37.png,0,0,0
c§MAVELK-1-20§N§i129,leaf-2,length-63,width-63.png,1,0,0
d§VRPET2-3-20§Q§514,leaf-2,length-57,width-60.png,6,2,0
b§SMAKC1-B§N§437,leaf-1,length-55,width-49.png,2,0,1
d§SMAKC1-B§N§442,leaf-1,length-35,width-31.png,0,0,0
e§SMAKC1-B§N§447,leaf-1,length-51,width-41.png,0,0,0
e§MAVELK-1-20§N§i132,leaf-1,length-40,width-35.png,3,0,0
d§SMITH1-20§Q§471,leaf-1,length-57,width-50.png,5,0,0
e§RULEB1-20§N§428,leaf-1,length-51,width-44.png,0,0,1
a§WSSWM3-1-0§Q§550,leaf-2,length-54,width-54.png,10,0,0
d§CBMCK1-3-60§N§i116,leaf-1,length-50,width-45.png,0,0,0
b§CWRIC2-X2§Q§86,leaf-1,length-45,width-53.png,1,1,0
c§SMAKC1-B§N§441,leaf-1,length-53,width-50.png,2,0,0
b§VRPET2-3-20§Q§513,leaf-1,length-31,width-32.png,0,0,1
b§EFCC2-4-80§Q§142,leaf-2,length-67,width-72.png,5,13,5
e§JWBOY-2-80§Q§264,leaf-2,length-69,width-68.png,3,0,0
d§MHNAT1-2-0§Q§362,leaf-1,length-44,width-42.png,0,1,0
d§CBMCK1-3-60§N§i117,leaf-1,length-41,width-39.png,0,0,0
c§MHBUR1-4-20§Q§344,leaf-1,length-37,width-39.png,1,0,0
b§VRPET2-3-20§Q§512,leaf-1,length-53,width-42.png,0,0,0
e§KVEDG1-1-80§Q§299,leaf-1,length-50,width-42.png,1,3,2
a§CWRIC2-X2§Q§100,leaf-2,length-45,width-47.png,0,0,0
b§MHBUR1-4-20§Q§353,leaf-1,length-45,width-45.png,3,0,0
a§CBMCK1-1-0§N§36,leaf-2,length-73,width-73.png,4,0,2
e§MAVBEL2-1-20§N§329,leaf-2,length-60,width-65.png,3,0,0
d§CRSOSO-3-40§Q§67,leaf-1,length-38,width-35.png,0,0,0
e§DVGM-20§Q§127,leaf-2,length-52,width-48.png,7,0,0
c§JBCHY1-1-50§Q§230,leaf-1,length-52,width-47.png,0,0,1
b§RULEB1-20§N§424,leaf-2,length-53,width-66.png,0,0,0
b§DVGM-20§Q§113,leaf-2,length-74,width-66.png,2,0,14
b§VRCAN-1-40§Q§490,leaf-2,length-53,width-50.png,6,0,0
e§MHNAT1-2-0§Q§365,leaf-1,length-47,width-43.png,1,2,0
c§VRCAN-1-40§Q§497,leaf-2,length-43,width-42.png,2,0,1
d§JWBOY-2-80§Q§256,leaf-1,length-44,width-43.png,0,1,0
c§JBBLB2-1-20§Q§208,leaf-2,length-62,width-65.png,0,0,0
d§VRPET2-3-20§Q§506,leaf-2,length-65,width-67.png,4,0,0
e§CRSOSO-3-40§Q§54,leaf-1,length-75,width-70.png,12,0,0
d§JBBLB2-1-20§Q§212,leaf-1,length-37,width-32.png,0,0,0
e§VSGARO1-1-0§Q§547,leaf-1,length-60,width-56.png,3,0,2
a§DVGM-20§Q§106,leaf-2,length-35,width-33.png,0,0,0
d§JBCHY1-1-50§Q§273,leaf-2,length-53,width-51.png,23,0,1
d|NSRIB1-2-40|V|i144,leaf-2,length-70,width-69.png,4,0,1
c§KVEDG1-1-80§Q§288,leaf-1,length-48,width-46.png,0,0,4
a§SEBRN-1-20§N§i146,leaf-2,length-73,width-70.png,1,0,0
e§JWBOY-2-80§Q§263,leaf-1,length-46,width-35.png,0,0,0
a§JBBLB2-1-20§Q§199,leaf-1,length-48,width-48.png,0,2,0
b§PDVRT1-20§Q§407,leaf-1,length-19,width-41.png,0,0,20
b§RULEB1-20§N§424,leaf-1,length-56,width-44.png,0,0,0
a§MSMID1-1-20§Q§366,leaf-2,length-58,width-63.png,1,0,3
a§MAVELK-1-20§N§i127,leaf-1,length-43,width-31.png,0,0,0
c§PDVRT1-20§Q§410,leaf-2,length-61,width-62.png,4,0,0
d§VSGARO1-1-0§Q§540,leaf-1,length-50,width-52.png,0,0,0
b§CRSOSO-3-40§Q§75,leaf-2,length-85,width-89.png,12,0,0
d§CBMCK1-3-60§N§i116,leaf-2,length-65,width-63.png,4,0,0
e§MHNAT1-2-0§Q§365,leaf-2,length-54,width-54.png,2,0,1
c§BWPEM1-9-0§Q§10,leaf-1,length-55,width-47.png,4,1,0
a§SMITH1-20§Q§451,leaf-1,length-55,width-58.png,8,0,2
b§PDVRT1-20§Q§404,leaf-1,length-32,width-31.png,0,0,0
d§KVEDG1-1-80§Q§296,leaf-2,length-52,width-65.png,5,0,3
a§CWRIC2-X2§Q§99,leaf-1,length-47,width-43.png,0,0,0
c§CWRIC2-X2§Q§94,leaf-1,length-42,width-50.png,1,0,5
e§SMITH1-20§Q§478,leaf-1,length-34,width-31.png,0,0,0
a§DVGM-20§Q§103,leaf-2,length-62,width-68.png,3,0,0
b|CRSOSO-3-40|Q|76,leaf-2,length-56,width-54.png,7,0,1
c§PDVRT1-20§Q§413,leaf-2,length-50,width-47.png,3,0,6
e§SMITH1-20§Q§475,leaf-1,length-72,width-64.png,0,0,0
a§DVGM-20§Q§103,leaf-1,length-53,width-51.png,0,0,2
d§MSMID1-1-20§Q§395,leaf-1,length-69,width-67.png,20,0,0
a§WSSWM3-1-0§Q§553,leaf-1,length-50,width-41.png,0,0,0
d§MAVBEL2-1-20§N§322,leaf-1,length-58,width-53.png,0,0,0
a§PDVRT1-20§Q§399,leaf-2,length-54,width-56.png,7,0,0
a§SEBRN-1-20§N§i145,leaf-1,length-56,width-54.png,1,0,0
e§KVEDG1-1-80§Q§301,leaf-1,length-65,width-64.png,2,0,4
a§JARI1-1-80§Q§159,leaf-1,length-62,width-62.png,2,0,1
a§MAVBEL2-1-20§N§307,leaf-2,length-55,width-60.png,1,0,4
c§SMITH1-20§Q§466,leaf-2,length-36,width-32.png,3,0,0
b§SMAKC1-B§N§440,leaf-1,length-58,"width-53	.png",5,0,1
a§JBBLB2-1-20§Q§194,leaf-2,length-63,width-61.png,5,0,0
d§DSGAR1-3-60§V§i120,leaf-1,length-72,width-77.png,9,0,5
a§KVEDG1-1-80§Q§272,leaf-1,length-45,width-35.png,0,6,1
b§MSMID1-1-20§Q§600,leaf-2,length-87,width-82.png,6,0,0
a§DVGM-20§Q§110,leaf-1,length-36,width-39.png,60,0,0
a§CRSOSO-3-40§Q§56,leaf-2,length-37,width-37.png,o,1,40
a§CWRIC2-X2§Q§79,leaf-1,length-49,width-44.png,0,0,2
d§SMITH1-20§Q§472,leaf-1,length-50,width-48.png,2,0,1
d§SEBRN-1-20§N§i150,leaf-2,length-75,width-76.png,2,0,1
f§JBCHY1-1-50§Q§246,leaf-2,length-63,width-54.png,2,0,0
b§BWPEM1-9-0§Q§4,leaf-1,length-40,width-39.png,0,0,0
d§BWPEM1-9-0§Q§20,leaf-1,length-75,width-74.png,2,6,0
c§MAVBEL2-1-20§N§319,leaf-2,length-45,width-45.png,0,0,0
d§MBSGF1-X1§N§i135,leaf-1,length-38,width-41.png,0,0,1
e§KVEDG1-1-80§Q§300,leaf-1,length-35,width-37.png,0,1,0
c§VRPET2-3-20§Q§519,leaf-1,length-65,width-67.png,0,0,0
a§LGESC1-3-60§V§i123,leaf-1,length-64,width-67.png,0,0,0
a§SMITH1-20§Q§449,leaf-1,length-33,width-31.png,0,1,0
e§PDVRT1-20§Q§420,leaf-1,length-52,width-41.png,0,0,0
e§DVGM-20§Q§132,leaf-1,length-75,width-73.png,0,1,2
b§KVEDG1-1-80§Q§279,leaf-2,length-47,width-52.png,6,0,0
e§CRSOSO-3-40§Q§53,leaf-1,length-36,width-40.png,0,0,0
a§KVEDG1-1-80§Q§275,leaf-2,length-68,width-73.png,0,3,0
a§CWRIC2-X2§Q§100,leaf-3,length-69,width-75.png,12,0,0
d§CBMCK1-2-80§N§i109,leaf-1,length-61,width-58.png,2,0,0
c|VSGARO1-1-0|Q|536,leaf-2,length-69,width-64.png,0,0,2
d§VRCAN-1-40§Q§502,leaf-2,length-55,width-55.png,3,0,0
e§BWPEM1-9-0§Q§33,leaf-1,length-50,width-32.png,1,0,0
b§JBCHY1-1-50§Q§224,leaf-2,length-59,width-59.png,1,0,0
a§MSMID1-1-20§Q§368,leaf-1,length-57,width-47.png,6,0,13
b§JBCHY1-1-50§Q§223,leaf-1,length-48,width-47.png,0,0,0
e§WSSWM3-1-0§Q§571,leaf-1,length-55,width-54.png,0,3,0
c§SMITH1-20§Q§468,leaf-1,length-40,width-43.png,0,0,0
a§DVGM-20§Q§105,leaf-2,length-36,width-37.png,0,0,0
e§JBCHY1-1-50§Q§244,leaf-1,length-38,width-37.png,1,0,0
d§VRCAN-1-40§Q§499,leaf-2,length-56,width-55.png,5,0,0
b§PDVRT1-20§Q§405,leaf-1,length-43,width-44.png,1,0,0
e§EFCC2-4-80§Q§157,leaf-1,length-78,width-85.png,9,0,3
a§PDVRT1-20§Q§403,leaf-1,length-38,width-37.png,0,0,0
d§VRCAN-1-40§Q§501,leaf-1,length-70,width-73.png,10,0,0
d§WSSWM3-1-0§Q§570,leaf-2,length-49,width-50.png,0,2,0
c§CBMCK1-1-0§N§43,leaf-1,length-34,width-34.png,0,0,0
b§SMITH1-20§Q§463,leaf-1,length-43,width-47.png,0,0,0
d§MAVBEL2-1-20§N§320,leaf-1,length-38,width-36.png,0,0,0
d§MHBUR1-4-20§Q§351,leaf-1,length-35,width-40.png,0,0,0
d§JARI1-1-80§Q§184,leaf-2,length-60,width-52.png,4,1,0
d§BWPEM1-9-0§Q§17,leaf-2,length-77,width-80.png,0,0,7
a§KVEDG1-1-80§Q§275,leaf-1,length-43,width-38.png,0,0,0
c§DVGM-20§Q§119,leaf-1,length-52,width-65.png,1,0,15
b§EFCC2-4-80§Q§145,leaf-2,length-63,width-67.png,0,5,1
a§MHBUR1-4-20§Q§338,leaf-2,length-59,width-64.png,8,0,0
d§CWRIC2-X2§Q§96,leaf-2,length-65,width-61.png,1,0,0
e§JBBLB2-1-20§Q§220,leaf-2,length-70,width-66.png,0,0,10
e§JWBOY-2-80§Q§265,leaf-2,length-63,width-61.png,0,0,0
e§CRSOSO-3-40§Q§50,leaf-2,length-47,width-50.png,15,0,0
b§SMITH1-20§Q§462,leaf-2,length-58,width-54.png,11,0,1
e§JBBLB2-1-20§Q§220,leaf-1,length-50,width-54.png,10,0,7
b§VRCAN-1-40§Q§482,leaf-2,length-54,width-46.png,3,0,0
b|SEBRN-1-20|N|i151,leaf-1,length-62,width-60.png,0,0,3
c§JARI1-1-80§Q§173,leaf-2,length-80,width-59.png,1,1,1
a§JBBLB2-1-20§Q§199,leaf-2,length-49,width-50.png,1,1,1
a§RULEB1-20§N§421,leaf-1,length-42,width-40.png,0,0,0
c§KVEDG1-1-80§Q§285,leaf-1,length-57,width-42.png,1,0,0
a§MHBUR1-4-20§Q§338,leaf-1,length-34,width-31.png,0,0,0
c§JWBOY-2-80§Q§253,leaf-2,length-70,width-67.png,2,0,0
b§JKFRS1-6-0§V§i121,leaf-2,length-67,width-81.png,9,3,0
c§EFCC2-4-80§Q§149,leaf-2,length-64,width-70.png,2,9,1
a§VSGARO1-1-0§Q§531,leaf-2,length-61,width-62.png,0,0,0
b§JBCHY1-1-50§Q§227,leaf-2,length-48,width-47.png,2,0,0
c§SMAKC1-B§N§441,leaf-2,length-62,width-59.png,4,0,0
a§DVGM-20§Q§105,leaf-1,length-59,width-60.png,4,0,2
d§VRPET2-3-20§Q§530,leaf-2,length-49,width-53.png,0,2,0
b§VRCAN-1-40§Q§486,leaf-2,length-62,width-64.png,0,0,1
e§JBCHY1-1-50§Q§244,leaf-2,length-57,width-60.png,4,0,12
c§VRPET2-3-20§Q§520,leaf-2,length-69,width-75.png,0,0,0
a§SMITH1-20§Q§457,leaf-1,length-47,width-31.png,0,0,0
b§KVEDG1-1-80§Q§281,leaf-1,length-46,width-51.png,3,1,1
a§SMAKC1-B§N§431,leaf-1,length-35,width-41.png,0,0,16
d§VSGARO1-1-0§Q§542,leaf-2,length-83,width-75.png,2,1,0
a§MHBUR1-4-20§Q§337,leaf-2,length-68,width-70.png,6,0,2
a§CWRIC2-X2§Q§84,leaf-1,length-46,width-44.png,0,0,0
b§DVGM-20§Q§113,leaf-1,length-73,width-87.png,4,0,1
e§MAVBEL2-1-20§N§329,leaf-1,length-50,width-43.png,0,0,0
b§VRCAN-1-40§Q§490,leaf-1,length-47,width-48.png,2,0,0
d§VRPET2-3-20§Q§506,leaf-1,length-52,width-40.png,4,0,0
c§JARI1-1-80§Q§177,leaf-2,length-23,width-16.png,0,0,0
b§MHBUR1-4-20§Q§342,leaf-2,length-60,width-61.png,1,0,1
a§CRSOSO-3-40§Q§57,leaf-2,length-62,width-67.png,1,0,0
a§MHBUR1-4-20§Q§334,leaf-1,length-36,width-32.png,9,0,3
c§JWBOY-2-80§Q§253,leaf-1,length-43,width-45.png,0,0,0
c§KVEDG1-1-80§Q§286,leaf-2,length-61,width-60.png,0,0,19
d§CRSOSO-3-40§Q§68,leaf-1,length-61,width-66.png,0,1,4
e§CBMCK1-2-80§N§i112,leaf-2,length-63,width-63.png,2,0,0
b§CBMCK1-2-80§N§i108,leaf-1,length-33,width-33.png,0,0,0
a§PDVRT1-20§Q§401,leaf-2,length-59,width-63.png,1,1,1
c§CBMCK1-2-80§N§i111,leaf-2,length-74,width-66.png,0,0,0
d§CRSOSO-3-40§Q§64,leaf-1,length-45,width-41.png,1,0,1
a§CWRIC2-X2§Q§99,leaf-2,length-56,width-56.png,0,0,0
a§WSSWM3-1-0§Q§549,leaf-1,length-44,width-41.png,7,0,0
a§VRPET2-3-20§Q§505,leaf-1,length-45,width-45.png,0,0,0
a§NSLJU1-4-0§V§i139,leaf-2,length-36,width-31.png,0,0,0
d§MAVBEL2-1-20§N§324,leaf-2,length-63,width-67.png,0,0,0
d§MAVBEL2-1-20§N§325,leaf-2,length-58,width-63.png,0,0,0
b§CRSOSO-3-40§Q§78,leaf-2,length-62,width-64.png,5,1,0
a§SMITH1-20§Q§453,leaf-1,length-35,width-31.png,0,0,5
b§JBCHY1-1-50§Q§228,leaf-1,length-42,width-30.png,0,0,0
b§EFCC2-4-80§Q§145,leaf-1,length-45,width-45.png,0,0,0
c§WSSWM3-1-0§Q§564,leaf-1,length-34,width-30.png,0,0,1
d§JBBLB2-1-20§Q§212,leaf-2,length-35,width-35.png,30,0,0
b§VRPET2-3-20§Q§511,leaf-1,length-41,width-40.png,1,1,0
c§KVEDG1-1-80§Q§289,leaf-1,length-40,width-42.png,0,0,0
b§MHBUR1-4-20§Q§345,leaf-1,length-55,width-56.png,0,0,0
c§CBMCK1-1-0§N§41,leaf-2,length-70,width-64.png,2,0,0
b§MHBUR1-4-20§Q§342,leaf-1,length-48,width-39.png,0,0,0
b§CWRIC2-X2§Q§88,leaf-2,length-81,width-75.png,4,0,2
a§JARI1-1-80§Q§160,leaf-1,length-32,width-25.png,0,0,0
a§DVGM-20§Q§109,leaf-2,length-45,width-39.png,3,0,2
c§JBBLB2-1-20§Q§207,leaf-2,length-50,width-49.png,0,0,0
d§MSMID1-1-20§Q§396,leaf-2,length-32,width-25.png,0,0,0
a§MSMID1-1-20§Q§367,leaf-1,length-55,width-50.png,0,0,0
e§RULEB1-20§N§429,leaf-1,length-48,width-49.png,1,1,0
a§KVEDG1-1-80§Q§273,leaf-1,length-47,width-41.png,0,0,0
e§KVEDG1-1-80§Q§301,leaf-2,length-75,width-75.png,2,0,0
e§WSSWM3-3-80§V§i163,leaf-1,length-70,width-63.png,0,0,0
e§KVEDG1-1-80§Q§303,leaf-1,length-42,width-33.png,0,0,0
d§SMAKC1-B§N§435,leaf-2,length-56,width-62.png,3,0,1
d§VSGARO1-1-0§Q§542,leaf-1,length-48,width-42.png,0,0,0
c§WSSWM3-1-0§Q§564,leaf-2,length-78,width-82.png,7,0,2
b§MHNAT1-2-0§Q§359,leaf-1,length-33,width-33.png,0,0,0
b§SMITH1-20§Q§459,leaf-1,length-48,width-48.png,0,0,2
c§JARI1-1-80§Q§177,leaf-3,length-74,width-69.png,0,0,0
d§JBBLB2-1-20§Q§201,leaf-2,length-60,width-65.png,0,0,0
c§CWRIC2-X2§Q§90,leaf-1,length-45,width-41.png,0,0,0
a§JBBLB2-1-20§Q§198,leaf-1,length-56,width-50.png,0,0,0
e§JWBOY-2-80§Q§269,leaf-1,length-52,width-54.png,0,0,0
b§CWRIC2-X2§Q§87,leaf-1,length-36,width-27.png,0,0,1
d§MAVBEL2-1-20§N§322,leaf-2,length-59,width-63.png,4,0,1
b§VRPET2-3-20§Q§515,leaf-2,length-45,width-45.png,13,0,0
c§JBCHY1-1-50§Q§229,leaf-1,length-51,width-45.png,0,0,0
b§BWPEM1-9-0§Q§5,leaf-1,length-52,width-43.png,8,0,0
e§DVGM-20§Q§128,leaf-1,length-40,width-43.png,0,0,40
a§NSLJU1-4-0§V§i137,leaf-2,length-65,width-69.png,0,1,5
b§SMAKC1-B§N§444,leaf-1,length-43,width-35.png,0,0,0
a§MAVELK-1-20§N§i125,leaf-1,length-53,width-49.png,0,0,0
e§JWBOY-2-80§Q§266,leaf-1,length-57,width-58.png,3,0,1
e§RULEB1-20§N§430,leaf-2,length-42,width-39.png,10,0,0
e§RULEB1-20§N§428,leaf-2,length-67,width-72.png,2,0,0
a§SMAKC1-B§N§432,leaf-2,length-74,width-72.png,6,0,1
a§WSSWM3-1-0§Q§553,leaf-2,length-75,width-72.png,4,0,1
b§JKFRS1-6-0§V§i121,leaf-1,length-63,width-64.png,0,1,0
a§CRSOSO-3-40§Q§57,leaf-1,length-43,width-45.png,0,0,0
e§WSSWM3-1-0§Q§571,leaf-2,length-54,width-49.png,1,0,0
e§RULEB1-20§N§430,leaf-1,length-31,width-34.png,4,0,0
d§KVEDG1-1-80§Q§295,leaf-1,length-46,width-49.png,0,0,0
d§MAVBEL2-1-20§N§324,leaf-1,length-45,width-43.png,0,0,0
c§WSSWM3-1-0§Q§566,leaf-2,length-60,width-65.png,17,1,1
d§VSGARO1-1-0§Q§543,leaf-1,length-56,width-52.png,0,0,0
d§CRSOSO-3-40§Q§65,leaf-2,length-84,width-76.png,14,0,3
a§MAVBEL2-1-20§N§308,leaf-1,length-61,width-61.png,0,0,0
a§SEBRN-1-20§N§i147,leaf-1,length-48,width-45.png,0,0,0
b§MHNAT1-2-0§Q§364,leaf-1,length-64,width-62.png,2,2,2
e§PDVRT1-20§Q§418,leaf-1,length-36,width-46.png,1,0,0
b§VRCAN-1-40§Q§484,leaf-1,length-41,width-37.png,0,1,5
b§BWPEM1-9-0§Q§7,leaf-1,length-59,width-49.png,0,0,0
d§MAVBEL2-1-20§N§321,leaf-4,length-56,width-70.png,10,0,0
 d§VRPET2-3-20§Q§525,leaf-2,length-75,width-75.png,0,1,0
a§MAVBEL2-1-20§N§305,leaf-2,length-69,width-75.png,1,0,0
d§MHBUR1-4-20§Q§350,leaf-2,length-48,width-55.png,0,3,0
b§WSSWM3-1-0§Q§560,leaf-2,length-79,width-79.png,1,0,0
d§JWBOY-2-80§Q§259,leaf-2,length-47,width-51.png,7,0,0
b§MAVBEL2-1-20§N§311,leaf-2,length-32,width-25.png,0,0,0
c§PDVRT1-20§Q§409,leaf-1,length-57,width-57.png,0,0,3
e§JWBOY-2-80§Q§266,leaf-2,length-73,width-73.png,10,0,0
b§VRPET2-3-20§Q§512,leaf-2,length-62,width-65.png,1,4,0
b§EFCC2-4-80§Q§142,leaf-1,length-62,width-70.png,5,19,9
e§CWRIC2-X2§Q§101,leaf-1,length-37,width-49.png,1,0,9
d§VSGARO1-1-0§Q§540,leaf-2,length-47,width-50.png,0,0,0
e§JWBOY-2-80§Q§270,leaf-1,length-55,width-43.png,0,0,1
c§SEBRN-1-20§N§i148,leaf-2,length-65,width-67.png,0,0,0
b§WSSWM3-1-0§Q§557,leaf-2,length-68,width-68.png,0,1,1
a§KVEDG1-1-80§Q§276,leaf-2,length-69,width-71.png,5,0,1
a§MAVBEL2-1-20§N§308,leaf-2,length-71,width-80.png,1,0,0
b§DVGM-20§Q§111,leaf-1,length-40,width-35.png,0,0,1
d§EFCC2-4-80§Q§153,leaf-1,length-58,width-54.png,1,0,1
d§BWPEM1-9-0§Q§26,leaf-2,length-69,width-73.png,0,0,0
b§CRSOSO-3-40§Q§72,leaf-1,length-31,width-35.png,0,0,2
a§VSGARO1-1-0§Q§534,leaf-1,length-47,width-39.png,2,4,4
c§JARI1-1-80§Q§175,leaf-1,length-61,width-61.png,3,0,2
d§MSMID1-1-20§Q§388,leaf-1,length-32,width-30.png,1,1,0
b§JBCHY1-1-50§Q§242,leaf-1,length-55,width-50.png,0,0,0
b§CBMCK1-1-0§N§38,leaf-2,length-43,width-44.png,0,0,0
c§VRPET2-3-20§Q§523,leaf-2,length-36,width-27.png,0,0,1
e§JARI1-1-80§Q§189,leaf-1,length-68,width-67.png,2,0,0
b§VRCAN-1-40§Q§482,leaf-1,length-64,width-69.png,0,0,0
b§MAVBEL2-1-20§N§313,leaf-1,length-37,width-40.png,1,0,1
d§JARI1-1-80§Q§180,leaf-2,length-54,width-51.png,0,0,0
e§JBBLB2-1-20§Q§217,leaf-2,length-61,width-65.png,0,0,1
d§VSGARO1-1-0§Q§541,leaf-2,length-69,width-69.png,0,0,0
d§SMAKC1-B§N§443,leaf-2,length-55,width-57.png,7,0,1
e§MAVELK-1-20§N§i130,leaf-2,length-63,width-69.png,4,0,0
c§JBBLB2-1-20§Q§207,leaf-1,length-39,width-39.png,0,0,0
a§PDVRT1-20§Q§398,leaf-2,length-48,width-46.png,0,1,2
b§CRSOSO-3-40§Q§77,leaf-2,length-64,width-70.png,1,0,0
b§VRPET2-3-20§Q§515,leaf-1,length-39,width-35.png,1,0,0
d§SMITH1-20§Q§472,leaf-2,length-70,width-65.png,0,0,1
a§CWRIC2-X2§Q§82,leaf-1,length-31,width-35.png,0,0,1
b§JBBLB2-1-20§Q§203,leaf-1,length-39,width-35.png,0,0,0
e§PDVRT1-20§Q§415,leaf-2,length-49,width-55.png,2,1,6
a§SMITH1-20§Q§456,leaf-1,length-53,width-52.png,1,0,0
c§EFCC2-4-80§Q§149,leaf-3,length-59,width-65.png,6,20,0
d§DVGM-20§Q§125,leaf-2,length-72,width-75.png,5,0,1
d§MHBUR1-4-20§Q§350,leaf-1,length-39,width-44.png,0,0,0
b§CWRIC2-X2§Q§85,leaf-1,length-38,width-35.png,0,0,0
c§WSSWM3-1-0§Q§563,leaf-1,length-49,width-47.png,3,0,3
c§SMITH1-20§Q§468,leaf-2,length- 79,width-82.png,6,0,3
e§JARI1-1-80§Q§190,leaf-2,length-83,width-74.png,6,0,0
d§EFCC2-4-80§Q§155,leaf-1,length-64,width-54.png,0,0,0
b§MHBUR1-4-20§Q§347,leaf-1,length-33,width-33.png,1,0,0
c§KVEDG1-1-80§Q§285,leaf-2,length-77,width-74.png,0,0,2
e§JBCHY1-1-50§Q§241,leaf-2,length-42,width-31.png,0,0,12
d§VSGARO1-1-0§Q§538,leaf-1,length-46,width-36.png,0,0,1
a§WSSWM3-1-0§Q§554,leaf-1,length-40,width-40.png,0,0,1
b§SMITH1-20§Q§460,leaf-2,length-51,width-50.png,3,5,1
c§MHBUR1-4-20§Q§336,leaf-1,length-32,width-31.png,9,0,0
d§SMITH1-20§Q§474,leaf-2,length-68,width-72.png,0,0,3
d§SMITH1-20§Q§473,leaf-1,length-48,width-46.png,0,0,0
c§MAVBEL2-1-20§N§318,leaf-1,length-31,width-24.png,4,0,20
a§SMITH1-1-0§Q§i153,leaf-2,length-78,width-82.png,8,0,0
b§VRPET2-3-20§Q§511,leaf-2,length-54,width-56.png,0,0,0
b§NSLJU1-4-0§V§i140,leaf-2,length-72,width-77.png,0,0,0
a|CWRIC2-X2|Q|80,leaf-1,length-58,width-55.png,0,0,0
c§KVEDG1-1-80§Q§289,leaf-2,length-66,width-65.png,0,0,0
c§JBCHY1-1-50§Q§229,leaf-2,length-56,width-53.png,4,0,0
b§MHNAT1-2-0§Q§358,leaf-2,length-70,width-65.png,3,0,0
e§WSSWM3-1-0§Q§572,leaf-2,length-64,width-68.png,28,0,0
e§KVEDG1-1-80§Q§299,leaf-2,length-61,width-73.png,0,0,0
d§VRCAN-1-40§Q§500,leaf-3,length-74,width-70.png,13,0,0
e§CRSOSO-3-40§Q§53,leaf-2,length-45,width-54.png,0,38,0
d§SMITH1-20§Q§471,leaf-2,length-73,width-61.png,2,0,4
e§JWBOY-2-80§Q§267,leaf-1,length-69,width-69.png,0,0,1
e§PDVRT1-20§Q§418,leaf-2,length-57,width-70.png,7,0,0
e§MAVBEL2-1-20§N§330,leaf-2,length-62,width-67.png,3,0,0
a§NSLJU1-4-0§V§i138,leaf-2,length-72,width-76.png,0,0,0
b§PDVRT1-20§Q§408,leaf-1,length-49,width-53.png,0,0,0
d§BWPEM1-9-0§Q§26,leaf-1,length-43,width-31.png,0,0,0
a§VRCAN-1-40§Q§489,leaf-1,length-44,width-28.png,0,0,0
c§JBCHY1-1-50§Q§225,leaf-2,length-41,width-44.png,0,0,0
c§MHBUR1-4-20§Q§341,leaf-1,length-43,width-42.png,1,0,0
a§SMITH1-20§Q§456,leaf-2,length-52,width-51.png,4,0,0
b§WSSWM3-3-80§V§i161,leaf-2,length-52,width-59.png,2,2,0
c§VRPET2-3-20§Q§522,leaf-2,length-67,width-71.png,2,0,0
a§MAVBEL2-1-20§N§304,leaf-1,length-45,width-50.png,1,0,0
b§MHBUR1-4-20§Q§354,leaf-2,length-50,width-58.png,0,0,0
a§MSMID1-1-20§Q§366,leaf-1,length-40,width-36.png,0,0,0
b§WSSWM3-1-0§Q§561,leaf-1,length-38,width-31.png,1,0,0
a§PDVRT1-20§Q§398,leaf-1,length-33,width-30.png,0,0,1
a§SMITH1-20§Q§454,leaf-1,length-45,width-53.png,0,0,0
e§WSSWM3-3-80§V§i163,leaf-4,length-63,width-65.png,4,0,0
d§CBMCK1-2-80§N§i109,leaf-2,length-79,width-69.png,8,0,0
b§KVEDG1-1-80§Q§278,leaf-1,length-43,width-44.png,0,0,0
e§BWPEM1-9-0§Q§29,leaf-1,length-56,width-46.png,0,0,0
