Genotype,GM_Leaf_Number,GM_Leaf_Len,GM_Leaf_Wid,ThripsDam,WhiteFungDam,BlackPathDam
b§CWRIC2-X2§Q§87,leaf-2,length-70,width-67.png,0,1,0
d§CRSOSO-3-40§Q§65,leaf-1,length-64,width-52.png,2,0,0
c§CWRIC2-X2§Q§92,leaf-2,length-39,width-31.png,0,0,0
c|VSGARO1-1-0|Q|536,leaf-1,length-39,width-37.png,1,1,6
a§WSSWM3-1-0§Q§558,leaf-2,length-69,width-54.png,3,0,0
c§VRPET2-3-20§Q§523,leaf-1,length-64,width-59.png,0,1,1
d§BWPEM1-9-0§Q§17,leaf-1,length-44,width-37.png,0,2,0
e§DVGM-20§Q§127,leaf-1,length-32,width-35.png,0,0,0
d§VSGARO1-1-0§Q§539,leaf-2,length-35,width-27.png,0,0,0
a§JARI1-1-80§Q§159,leaf-2,length-62,width-68.png,7,0,0
c§CWRIC2-X2§Q§93,leaf-1,length-49,width-50.png,1,1,4
c§VRCAN-1-40§Q§496,leaf-2,length-70,width-74.png,15,0,2
b§JARI1-1-80§Q§166,leaf-1,length-38,width-25.png,0,0,0
d§SMAKC1-B§N§445,leaf-1,length-57,width-55.png,2,0,1
b§VRCAN-1-40§Q§485,leaf-1,length-49,width-44.png,1,0,0
e§VSGARO1-1-0§Q§548,leaf-1,length-32,width-33.png,1,0,0
a§DVGM-20§Q§107,leaf-1,length-36,width-39.png,45,0,4
e§DVGM-20§Q§132,leaf-2,length-69,width-69.png,7,0,13
c§MHBUR1-4-20§Q§340,leaf-2,length-61,width-66.png,14,0,0
e§JARI1-1-80§Q§187,leaf-2,length-84,width-82.png,5,0,1
b§JBCHY1-1-50§Q§223,leaf-2,length-56,width-52.png,40,0,0
b§VRCAN-1-40§Q§481,leaf-2,length-31,width-24.png,10,0,0
c§DVGM-20§Q§117,leaf-1,length-50,width-48.png,0,0,1
d§CBMCK1-3-60§N§i115,leaf-1,length-42,width-38.png,76,0,0
e§SMAKC1-B§N§447,leaf-2,length-58,width-58.png,2,0,0
c§CWRIC2-X2§Q§92,leaf-1,length-63,width-75.png,5,0,1
b§MHBUR1-4-20§Q§347,leaf-2,length-40,width-43.png,5,0,0
d§VSGARO1-1-0§Q§543,leaf-2,length-83,width-82.png,0,0,2
a§JWBOY-2-80§Q§251,leaf-1,length-32,width-32.png,4,0,0
c§SMITH1-20§Q§467,leaf-1,length-59,width-44.png,0,0,1
d§JWBOY-2-80§Q§255,leaf-2,length-82,width-82.png,12,0,0
c§JARI1-1-80§Q§176,leaf-1,length-36,width-36.png,0,0,0
d§MAVBEL2-1-20§N§323,leaf-1,length-36,width-37.png,0,0,11
c§JBCHY1-1-50§Q§233,leaf-1,length-33,width-33.png,0,1,0
f§JBCHY1-1-50§Q§248,leaf-2,length-60,width-62.png,0,3,0
e§MAVELK-1-20§N§i128,leaf-2,length-75,width-78.png,12,0,3
d§MAVBEL2-1-20§N§320,leaf-3,length-50,width-57.png,1,0,0
e§JKFRS1-6-0§V§i122,leaf-1,length-63,width-62.png,0,0,0
d§RULEB1-20§N§426,leaf-1,length-61,width-52.png,0,0,0
d§JBBLB2-1-20§Q§211,leaf-1,length-56,width-52.png,66,2,0
b§EFCC2-4-80§Q§139,leaf-1,length-45,width-51.png,0,0,0
b§CBMCK1-1-0§N§40,leaf-1,length-47,width-50.png,6,0,0
d§DVGM-20§Q§121,leaf-2,length-68,width-68.png,3,3,0
d§DVGM-20§Q§126,leaf-1,length-48,width-48.png,12,0,0
d§VRCAN-1-40§Q§502,leaf-1,length-31,width-33.png,0,0,0
b§CRSOSO-3-40§Q§69,leaf-2,length-41,width-37.png,3,0,9
e§JBBLB2-1-20§Q§222,leaf-1,length-45,width-43.png,0,0,1
e§SEBRN-1-20§N§i152,leaf-1,length-45,width-43.png,0,0,0
e§WSSWM3-3-80§V§i163,leaf-2,length-33,width-29.png,32,0,0
c§MAVBEL2-1-20§N§319,leaf-1,length-58,width-61.png,0,0,0
a§DVGM-20§Q§110,leaf-2,length-43,width-43.png,2,0,2
