Tag,Mass,Maple,Together,BigBag,MapleBag,RegGM,BigGM
e§JARI1/1/80§Q§185,6.54,y,,n,,,
maple/cnt§22,6.97,y,,n,,,
b§JARI1/1/80§Q§167,6.56,y,,n,,,
c§WSSWM3/1/0§Q§568,9.47,y,,RegGM,,,
b§CWRIC2/X2§Q§88,15.82,n,,n,,,
d§BWPEM1/9/0§Q§21,9.25,n,,n,,,
e§CRSOSO/3/40§Q§51,10.21,n,,n,,,
d§JARI1/1/80§Q§178,9.2,n,y,n,,,
d§JARI1/1/80§Q§178,6.24,y,y,n,,,
e§JWBOY/2/80§Q§264,8.96,n,y,n,,,
e§JWBOY/2/80§Q§264,5.92,y,y,n,,,
e§SMITH1/1/0§Q§i159,9.34,n,,n,,,
b§JARI1/1/80§Q§166,9.5,n,,n,,,
d|SEBRN-1-20|N|i151,14.85,n,,n,,,
e§JBCHY1/1/50§Q§244,9.25,n,y,n,,,
e§JBCHY1/1/50§Q§244,5.9,y,y,n,,,
d§DVGM/20§Q§125,10.41,n,y,n,,,
d§DVGM/20§Q§125,6.15,y,y,n,,,
e§VSGARO1/1/0§Q§544,8.81,n,,n,,,
e§JWBOY/2/80§Q§266,21.03,n,,n,,,
d§MAVBEL2/1/20§N§322,11.39,n,,n,,,
b§CWRIC2/X2§Q§85,9.23,n,,n,,,
d§BWPEM1/9/0§Q§22,8.72,n,,n,,,
d§VRPET2/3/20§Q§528,9.28,n,,n,,,
b§CRSOSO/3/40§Q§70,9.2,n,,n,,,
d§MHBUR1/4/20§Q§351,8.82,n,,n,,,
a§JBBLB2/1/20§Q§199,13.38,n,y,n,,,
a§JBBLB2/1/20§Q§199,6.14,y,y,n,,,
a§CWRIC2/X2§Q§83,10.21,n,,n,,,
d§MSMID1/1/20§Q§391,8.85,n,y,n,,,
d§MSMID1/1/20§Q§391,6.91,y,y,n,,,
b§CWRIC2/X2§Q§86,11.64,n,,n,,,
b§DVGM/20§Q§114,9.32,n,,n,,,
e§SEBRN/1/20§N§i152,9.64,n,,n,,,
d§JBBLB2/1/20§Q§215,9.12,n,,n,,,
a§JARI1/1/80§Q§160,15.64,n,,n,,,
c§VRPET2/3/20§Q§521,9.72,n,y,n,,,
c§VRPET2/3/20§Q§521,6.54,y,y,n,,,
NA,NA,NA,NA,NA,,,
d§JBCHY1/1/50§Q§273,15.05,n,,y,,,
b§KVEDG1/1/80§Q§279,15.37,n,,y,,,
e§VRCAN/1/40§Q§504,15.3,n,,y,,,
b§WSSWM3/1/0§Q§569,14.33,n,,y,,,
b§JBCHY1/1/50§Q§227,14.48,n,,y,,,
a§DVGM/20§Q§105,16.13,n,,y,,,
a§KVEDG1/1/80§Q§275,16.19,n,,y,,,
a§DVGM/20§Q§107,15.85,n,,y,,,
d§CRSOSO/3/40§Q§62,15.12,n,,y,,,
d§CBMCK1/3/60§N§i115,15.43,n,,y,,,
d§KVEDG1/1/80§Q§294,15.44,n,,y,,,
c§CBMCK1/1/0§N§42,16.35,n,,y,,,
d§VRCAN/1/40§Q§501,17.3,n,,y,,,
d§JARI1/1/80§Q§180,15.1,n,,y,,,
