"","x"
"1",0.0250699185617563
"2",1.32126517274736
"3",1.16190996569234
"4",0.190161913070767
"5",2.17700263463287
"6",-0.0584322099350791
"7",0.0853061868285574
"8",-1.16626960938164
"9",-1.60736482250996
"10",-0.474668010762816
"11",0.455010267196225
"12",-0.0316605351498342
"13",0.650379751045691
"14",-0.265593979106617
"15",0.539787237349501
"16",0.813559483070042
"17",1.43376994892822
"18",-0.758957700148988
"19",0.605760293070283
"20",-0.98364854209658
"21",1.20812297573829
"22",0.468077394174738
"23",-1.75524645465703
"24",-0.455226675502102
"25",-0.326786378615749
"26",2.38448311421852
"27",-1.09934042241853
"28",0.0448299642365799
"29",-0.133010446836833
"30",-1.68736113645159
"31",-0.818875258001679
"32",1.66961565536966
"33",0.881763511689594
"34",0.74854255859159
"35",0.400829496797516
"36",0.983432133790703
"37",-0.508770025072592
"38",-1.09073524123756
"39",-1.9222507116507
"40",-1.25423368367602
"41",-0.561994664228972
"42",0.799536224849199
"43",-0.102732957496377
"44",0.709341177656052
"45",-0.27802368525691
"46",0.245936235540027
"47",-0.122811713585311
"48",0.887181588729465
"49",1.28525089595293
"50",0.974826952609731
"51",0.459153502579656
"52",0.960803694388889
"53",-1.98854247778559
"54",-1.5356549793352
"55",-0.377142624045138
"56",-1.18889804878346
"57",0.297567322625856
"58",-0.451402150532782
"59",-0.696490458983417
"60",-0.439609865210709
"61",0.638268755309509
"62",-0.970262704703957
"63",1.97717120498587
"64",-0.663663286330081
"65",-0.967394310976967
"66",0.287049878960225
"67",0.308084766291488
"68",-0.760551252219538
"69",NA
"70",0.464252869205417
"71",-0.831623674566082
"72",0.831725976674315
"73",0.180919311061575
"74",0.023476366491206
"75",-0.972493677602728
"76",-1.12929920134488
"77",-1.21471359232637
"78",-2.14917252649706
"79",-1.27303759810851
"80",0.00148534791761192
"81",-0.0750051514688022
"82",-0.143846600916575
"83",0.457559950509106
"84",1.88187679116696
"85",-0.820150099658119
"86",-1.6146951620345
"87",1.34516845380562
"88",0.287049878960225
"89",-1.9286249199329
"90",0.627432601229767
"91",1.31457225405105
"92",-1.65357783255592
"93",-0.976955623400268
"94",1.27409603145908
"95",0.75332321480324
"96",-0.587491497357777
"97",2.54925639831342
"98",1.24222499004807
"99",-1.57166925612964
"100",0.402423048868066
"101",0.137893405156717
"102",-0.628286430363864
"103",-0.0421779788154661
"104",1.43026413437301
"105",-1.29917185206554
"106",-0.748758966897466
"107",-0.692665934014096
"108",0.630300994956758
"109",-0.234997779352052
"110",2.10624892270044
"111",0.777545206275605
"112",-0.104007799152818
"113",0.692768236122329
"114",-0.0313418247357241
"115",1.06087876441945
"116",0.290874403929545
"117",-1.98854247778559
"118",0.799854935263309
"119",-0.907476753124276
"120",-1.27335630852262
"121",-1.55700857708058
"122",-0.220655810717099
"123",0.241155579328376
"124",0.759697423085442
"125",-1.31956931856858
"126",-0.158507279965638
"127",-0.0759612827111324
"128",-1.19495354665155
"129",0.559547283024325
"130",-1.14204761790928
"131",-0.49697773975052
"132",-0.0966774596282862
"133",-0.00680112284924961
"134",0.451504452641015
"135",0.254860127135109
"136",0.631257126199088
"137",0.837144053714186
"138",-0.671949757096942
"139",1.03888774584585
"140",-1.14523472205038
"141",0.928295232149663
"142",0.943274621612835
"143",0.753960635631461
"144",0.388399790647223
"145",0.381069451122692
"146",1.30883546659707
"147",-0.970262704703957
"148",0.161477975800861
"149",0.715396675524143
"150",0.892599665769336
"151",0.462021896306647
"152",-0.218424837818329
"153",0.514927825048917
"154",0.243067841813036
"155",0.543293051904712
"156",-0.521837152051104
"157",1.15681059906657
"158",-2.14917252649706
"159",0.565921491306526
"160",1.27983281891306
"161",0.759697423085442
"162",-1.09360363496455
"163",-0.978867885884929
