"","x"
"1",-0.061700042513827
"2",-1.30518751149234
"3",0.425137032605117
"4",0.128733415785712
"5",-0.521164751963433
"6",-0.624788707711642
"7",0.319557907880527
"8",0.196773296163781
"9",-0.404636680971107
"10",0.201465701707096
"11",-0.388604295364781
"12",-0.376873281506493
"13",-1.26882136853164
"14",-0.555575725947744
"15",-0.0703027860099048
"16",0.822427368605798
"17",0.0970596783683347
"18",-0.157894356151787
"19",0.3578792198176
"20",0.328551685171881
"21",1.08911241698421
"22",-1.01113009744459
"23",-0.113316503490293
"24",-0.223196999962923
"25",-0.285371373411848
"26",-0.0726489887815623
"27",-0.991578407680774
"28",-1.06391965980688
"29",0.90689066838547
"30",0.721149615629246
"31",0.792708800164802
"32",-0.22867147309679
"33",-0.779638090641041
"34",-0.470330358577519
"35",-0.435919384593208
"36",1.43869662996118
"37",-0.954039163334253
"38",-0.260736244309444
"39",-0.850024173790768
"40",-1.76347911955611
"41",-0.213421155081016
"42",1.14346611452761
"43",0.21984429008508
"44",-0.545799881065837
"45",-1.18044773079921
"46",-1.15894087205901
"47",0.70824550038513
"48",-0.695956858451921
"49",0.837286652826296
"50",1.42501044712652
"51",0.465022479723296
"52",-1.18044773079921
"53",-1.17223602109841
"54",0.106053455659689
"55",0.768073671062398
"56",-0.203254276403833
"57",-0.640430059522692
"58",0.138118226872342
"59",-1.23675659731899
"60",0.743047508164717
"61",-0.376873281506493
"62",0.162753355974746
"63",0.27849935937652
"64",1.12156822199214
"65",1.22558321153562
"66",-1.15620363549208
"67",1.06682349065346
"68",-1.60862973662671
"69",-1.00330942153906
"70",0.136163057895961
"71",0.175657471218863
"72",-0.124265449758029
"73",1.00308498202343
"74",1.4203180415832
"75",-0.333077496435552
"76",NA
"77",-0.878960674641211
"78",0.751259217865518
"79",-1.5280767747998
"80",-0.211857019899911
"81",-1.65203448790238
"82",2.41041561122269
"83",0.352795780479009
"84",-0.637301789160482
"85",-0.133259227049383
"86",1.35071402602403
"87",0.0317570345571992
"88",0.357097152227048
"89",-0.581774990231253
"90",1.5818149990323
"91",1.68504792098523
"92",-0.0769503605296012
"93",-1.86984031187126
"94",1.34758575566182
"95",-0.212248053695187
"96",-1.30987991703565
"97",0.576858145172306
"98",0.0802452251714555
"99",2.53398229052999
"100",-1.36618878355543
"101",0.53775476564468
"102",-1.36579774976016
"103",0.381341247534176
"104",-1.51947403130373
"105",-0.820305605349772
"106",0.512728602746999
"107",2.00569563311176
"108",-0.392123599522267
"109",NA
"110",-0.144599207112394
"111",-0.437483519774313
"112",NA
"113",-0.0648283128760371
"114",1.88095585241863
"115",NA
"116",2.95434362045197
"117",0.3809502137389
"118",0.00321156750203218
"119",1.14659438488982
"120",2.07960102041898
"121",-0.481670338640531
"122",-1.30792474805927
"123",-0.186439823206954
"124",1.06330418649597
"125",0.38407848410111
"126",0.956551960385555
"127",0.35475094945539
"128",1.5274613014889
"129",0.21358774936066
"130",0.20733120863624
"131",-0.627916978073852
"132",0.811087388542786
"133",0.287102102872597
"134",-0.194651532907756
"135",3.87327303935118
"136",-0.987668069728012
"137",-1.01973284094067
"138",1.05352834161407
"139",-1.32747643782308
"140",-1.21837800894101
"141",-0.204427377789662
"142",-0.405027714766384
"143",2.38304324555335
"144",1.01716219865338
"145",-0.35732159174268
"146",-0.0323725078681075
"147",-1.05922725426357
"148",-0.802318050767064
"149",1.61818114199299
"150",-0.250569365632261
"151",-0.395251869884477
"152",0.611660152951893
"153",-1.49601200358715
"154",0.324641347219118
"155",0.951077487251688
"156",-1.40646526446889
"157",0.490830710211529
"158",-0.7901960031135
"159",0.219453256289804
"160",-1.61645041253224
"161",-1.01269423262569
"162",-1.16167810862595
"163",0.302352420888371
"164",-0.63964799193214
"165",-0.811702861853695
"166",-0.107059962765873
"167",0.527196853172221
"168",-0.366315369034034
"169",-0.201690141222728
"170",-1.36618878355543
"171",-0.778073955459936
"172",0.439605283030339
"173",0.354359915660114
