x,y,name,.ggraph.orig_index,circular,.ggraph.index,name2
8.75,22,PC1Tot,1,FALSE,1,Transplant Size
8.25,21,PCCG_1S,2,FALSE,2,General Investment (PC1)
9.25,22,MapleDamage,3,FALSE,3,Leaf Damage
9.75,21,PCCG_2S,4,FALSE,4,Relative Investment (PC2)
9,20,Maple_TotalLeafArea_EndS,5,FALSE,5,Acer saccharum TLA
9,16,Transplant_Size_GMS,,,,
9,18,GM_FecundityMS,9,FALSE,9,Relative Fecundity
