"","Tag","ChlorA","ChlorB","gluc_Conc","flav_Conc","Family","treatment","gh_row","gh_bench","GM_TotalLeaf_Area","comp_number","ThripsDam","WhiteFungDam","BlackPathDam","Fern","gh_col","GM_Leaf_Area","Latitude","Longitude","Altitude","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","Row_Field","Col_Field","Maple_Died","Maple_TotalLeafArea_End","GM_Fecundity","MapleFinalMass","RGR1","NumberOfSamples","maple_height_0","maple_leaf_length_0","maple_leaves_0","Maple_StemHeight_End","Maple_LeafNum_End","MapleDamage","GreenhouseSurvival","WhiteFungLogis","Bolt_Survival","Maple_SurvivalY2","Maple_SurvivalY1","GM_Fecundity2","PCCG_1","PCCG_2","PC1BoltSize","GM_FecundityMS","PCCG_1_T","PCCG_2_T","GM_Fecundity2MS"
"12","a|CWRIC2-X2|Q|79",-0.749772393339793,0.1496409525,-1.48072951243808,-2.23507060551341,"CWRIC2","a",18,2,5368,NA,0,0.5,2.02152563391728,0,6,2453,37.544016,-77.509875,30,68,10,29,26,2,6,"",NA,5.45,NA,1.03654983704993e-06,2,NA,NA,NA,NA,NA,NA,1,"1",1,NA,NA,5.5,1.16697193016666,-0.197958816428395,1.1209594130261,2.66144314868805,-2.75325574400645,1.33954502213421,9.45037353255069
"13","a|CWRIC2-X2|Q|80",-1.10282405450387,0.077729085,-1.70113913172003,NA,"CWRIC2","m",8,3,9140,NA,0.346573590279973,0,0,0,1,4220,37.544016,-77.509875,30,NA,NA,NA,NA,4,4,"",2545,0.0700000000000003,0.72,9.41348843068452e-07,2,87,31,2,100,2,1,1,"0",1,1,1,0.12,0.0492834259537477,-0.159275124216146,NA,0.0341836734693879,-3.87094424821936,1.37822871434645,0.206189967982925
"14","a|CWRIC2-X2|Q|81",-0.822408195668163,0.11654373,-1.41517754273246,-2.04585478259041,"CWRIC2","gm",6,3,6001,39,0.693147180559945,0,0,0,5,2601,37.544016,-77.509875,30,NA,NA,NA,NA,1,6,"",NA,NA,NA,7.04073764584755e-07,1,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,1.20246769679686,0.0811767633672589,NA,NA,-2.71775997737625,1.61868060192986,0
"15","a|CWRIC2-X2|Q|82",-1.30283675613707,0.1164304575,-1.86415916684935,-2.46764246537056,"CWRIC2","gm",11,2,3598,71,0,0,0.693147180559945,2.30258509299405,5,1488.5,37.544016,-77.509875,30,87,10,31,31,4,5,"",NA,1.96,NA,3.06547875020373e-07,2,NA,NA,NA,NA,NA,NA,1,"0",1,NA,NA,2.01,-0.675236760171246,-0.230652908848687,1.70320503915904,0.957142857142857,-4.59546443434436,1.30685092971391,3.45368196371398
"16","a|CWRIC2-X2|Q|83",-0.522993222297408,0.17300581,-1.45598462638301,-2.06076469659626,"CWRIC2","a",3,2,10739,NA,0,0,0.346573590279973,0,3,3322,37.544016,-77.509875,30,103,10,20,20,7,3,"",NA,1.64,NA,1.34416619327326e-06,2,NA,NA,NA,NA,NA,NA,1,"0",1,NA,NA,1.69,1.60525711191414,-0.508495569002461,0.671657062049974,0.800874635568513,-2.31497056225897,1.02900826956014,2.90384204909285
"17","a|CWRIC2-X2|Q|84",-0.788396729516609,0.0913406925000001,-1.66948648795615,-1.66104366402837,"CWRIC2","m",1,3,15374,NA,0,1.5,0,0,1,4372,37.544016,-77.509875,30,NA,NA,NA,NA,4,1,"",1891,NA,0.25,2.48400161820181e-06,2,70,22,2,82,4,0.75,1,"1",0,1,1,0,0.650604773082844,-0.59632605737635,NA,NA,-3.26962290109027,0.941177781186251,0
"18","a|CWRIC2-X2|Q|99",-0.960713900766267,0.171494895,-1.51793157679727,-2.34892688950257,"CWRIC2","a",17,2,9329,NA,0,0,0,2.39789527279837,4,2578.5,37.544016,-77.509875,30,45,20,34,34,2,6,"",NA,8.74,NA,9.80440399497287e-07,2,NA,NA,NA,NA,NA,NA,1,"0",1,NA,NA,8.79,0.725341602681276,0.0562039312570699,2.25938909348702,4.26807580174927,-3.19488607149183,1.59370776981967,15.1034151547492
"19","a|DVGM-20|Q|102",-1.09172003987616,0.12639482,-1.36796228961988,-1.73068321525372,"DVGM","gm",6,4,5632,30,0,0,0.693147180559945,0,6,2250,40.87611111,-74.95630278,232,74,12,15,15,5,2,"",NA,1.03,NA,6.54835401692497e-07,1,NA,NA,NA,NA,NA,NA,1,"0",1,NA,NA,1.08,0.865333498394624,0.637265584861049,-0.045100247229377,0.50298833819242,-3.05489417577849,2.17476942342365,1.85570971184632
"20","a|DVGM-20|Q|103",-1.39238375086668,0.0911303,-1.58789012904929,-2.29016396236826,"DVGM","a",15,2,10014,NA,0.693147180559945,0,0.549306144334055,0,3,3459.5,40.87611111,-74.95630278,232,153,14,20,19,4,6,"",NA,1.86,NA,7.55738149517032e-07,2,NA,NA,NA,NA,NA,NA,1,"0",1,NA,NA,1.91,-0.16363661050678,0.591412809248155,1.41234422497669,0.908309037900875,-4.08386428467989,2.12891664781076,3.28185699039488
"21","a|DVGM-20|Q|104",-1.4228387449897,0.0876044550000001,-1.47678966705812,-2.3100806937406,"DVGM","a",15,2,5679,NA,1.242453324894,0.5,0.346573590279973,2.56494935746154,5,2329.5,40.87611111,-74.95630278,232,NA,NA,NA,NA,9,2,"",NA,NA,NA,6.44049833076133e-07,2,NA,NA,NA,NA,NA,NA,1,"1",0,NA,NA,0,0.0513879540304205,0.912912781079966,NA,NA,-3.86883972014269,2.45041661964257,0
